index,deal,within_month,within_2month,within_3month,within_4month,within_5month,within_6month,within_7month,final
0,"March, 2022",0.12,0.23,0.36,0.42,0.45,0.46,0.48,0.54
1,"January, 2022",0.11,0.24,0.31,0.33,0.36,0.38,0.39,0.46
2,"April, 2022",0.01,0.25,0.29,0.34,0.36,0.39,0.39,0.04
3,"June, 2022",0.04,0.26,0.29,0.4,0.42,0.47,0.5,0.11
4,"September, 2022",0.06,0.09,0.19,0.29,0.33,0.41,0.44,0.27
5,"May, 2022",0.12,0.26,0.34,0.36,0.45,0.47,0.5,0.1
6,"July, 2022",0.06,0.12,0.28,0.34,0.41,0.5,0.51,0.3
7,"February, 2022",0.07,0.29,0.32,0.39,0.42,0.43,0.44,0.51
8,"August, 2022",0.0,0.2,0.23,0.33,0.43,0.45,0.51,0.01
9,"November, 2022",0.05,0.16,0.21,0.35,0.4,0.44,0.44,0.33
10,"October, 2022",0.01,0.05,0.29,0.32,0.45,0.48,0.5,0.42
11,"December, 2022",0.09,0.22,0.36,0.44,0.49,0.49,0.49,0.04
12,"January, 2023",0.07,0.29,0.42,0.47,0.48,0.48,0.48,0.48
13,"March, 2023",0.22,0.37,0.37,0.37,0.37,0.37,0.37,0.37
14,"February, 2023",0.15,0.33,0.43,0.43,0.43,0.43,0.43,0.43
15,"April, 2023",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
16,"May, 2023",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
